time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2013-12-31T20:23:34.680Z,0.5895,123.1397,135.14,4.3,mb,,163,1.661,1.02,us,usb000m2um,2014-02-28T08:44:15.000Z,"10 km NE of Gorontalo, Indonesia",earthquake,,9.5,0.168,,reviewed,us,us
2013-12-31T18:26:45.070Z,-8.3261,117.0013,143.61,4.7,mb,,30,2.822,1.42,us,usb000m2ug,2014-02-28T08:44:15.000Z,"41 km ENE of Labuan Lombok, Indonesia",earthquake,,5.5,0.106,,reviewed,us,us
2013-12-31T14:21:08.400Z,-6.1311,104.1189,56.64,4.7,mb,,111,2.106,0.78,us,usb000m2uc,2014-02-28T08:44:15.000Z,"148 km WSW of Bandar Lampung, Indonesia",earthquake,,7.6,0.208,,reviewed,us,us
2013-12-31T10:27:41.000Z,-7.5122,105.072,45.59,4.2,mb,,175,2.613,0.91,us,usb000m2u7,2014-02-28T08:44:14.000Z,"150 km SW of Labuan, Indonesia",earthquake,,8.7,0.187,,reviewed,us,us
2013-12-30T18:20:03.920Z,-0.0012,123.9209,107.95,4.8,mb,,30,1.545,0.88,us,usc000lu7a,2014-02-28T08:44:14.000Z,"112 km ESE of Gorontalo, Indonesia",earthquake,,5.3,0.08,,reviewed,us,us
2013-12-30T10:16:40.280Z,-2.6863,139.2308,25.69,4.4,mb,,78,1.481,1,us,usb000m2pm,2014-02-28T08:44:13.000Z,"156 km W of Abepura, Indonesia",earthquake,,5.2,0.148,,reviewed,us,us
2013-12-30T09:33:17.680Z,5.4139,125.7255,145.36,4.6,mb,,58,1.651,0.88,us,usc000lu1n,2014-02-28T08:44:13.000Z,"29 km E of Sarangani, Philippines",earthquake,,6.3,0.073,,reviewed,us,us
2013-12-30T08:47:27.930Z,1.4804,126.3394,35,4.2,mb,,139,1.245,0.42,us,usb000m2ph,2014-02-28T08:44:13.000Z,"139 km WNW of Ternate, Indonesia",earthquake,,7.6,0.152,,reviewed,us,us
2013-12-30T07:43:47.830Z,3.7699,95.7951,35.16,4.4,mb,,138,1.849,1.33,us,usc000lu0v,2014-02-28T08:44:13.000Z,"55 km SW of Meulaboh, Indonesia",earthquake,,2,0.126,,reviewed,us,us
2013-12-29T23:08:53.820Z,-3.1724,129.3031,52.57,4.3,mb,,62,2.952,0.76,us,usc000m0au,2014-02-28T08:44:13.000Z,"46 km ENE of Amahai, Indonesia",earthquake,,9.9,0.188,,reviewed,us,us
2013-12-29T21:05:23.340Z,2.3662,128.332,71,4,mb,,112,1.854,0.54,us,usc000m09z,2014-02-28T08:44:13.000Z,"79 km NNE of Tobelo, Indonesia",earthquake,,11.4,0.259,,reviewed,us,us
2013-12-29T20:05:44.290Z,1.072,127.1703,142.51,4.5,mb,,133,0.357,0.55,us,usc000m09y,2014-02-28T08:44:13.000Z,"39 km NW of Ternate, Indonesia",earthquake,,8.1,0.18,,reviewed,us,us
2013-12-29T18:22:19.510Z,-7.2164,129.3253,144.96,4.3,mb,,96,2.099,1.47,us,usc000m0a1,2014-02-28T08:44:13.000Z,"294 km ENE of Lospalos, Timor Leste",earthquake,,13.8,0.178,,reviewed,us,us
2013-12-29T17:37:42.380Z,-2.8201,129.7496,45.79,4.1,mb,,78,2.46,0.81,us,usc000m09u,2014-02-28T08:44:13.000Z,"108 km ENE of Amahai, Indonesia",earthquake,,10.1,0.14,,reviewed,us,us
2013-12-29T16:59:19.150Z,-6.7706,130.4548,93.88,4.6,mb,,83,1.466,0.91,us,usc000ltr2,2014-02-28T08:44:12.000Z,"283 km WSW of Tual, Indonesia",earthquake,,6.5,0.182,,reviewed,us,us
2013-12-29T16:48:57.290Z,-3.2166,139.876,92.36,4.5,mb,,110,1.082,0.79,us,usc000m09t,2014-02-28T08:44:12.000Z,"108 km SW of Abepura, Indonesia",earthquake,,11.7,0.204,,reviewed,us,us
2013-12-29T15:48:36.140Z,-2.8333,129.0458,40.43,4.6,mb,,105,2.954,0.99,us,usc000m0aq,2014-02-28T08:44:12.000Z,"57 km NNE of Amahai, Indonesia",earthquake,,11.7,0.315,,reviewed,us,us
2013-12-29T15:37:38.060Z,1.2996,126.2455,42.94,5.7,mww,,25,1.237,0.86,us,usc000ltqk,2022-05-03T16:36:56.689Z,"138 km WNW of Ternate, Indonesia",earthquake,,2,,,reviewed,us,us
2013-12-29T14:53:24.710Z,1.338,126.2746,35,5.1,mb,,30,1.228,1.18,us,usc000ltq6,2022-05-03T16:36:55.247Z,"137 km WNW of Ternate, Indonesia",earthquake,,1.8,0.056,,reviewed,us,us
2013-12-29T14:29:52.780Z,0.0094,123.3694,155.67,5,mb,,34,1.203,0.99,us,usc000ltpx,2014-02-28T08:44:12.000Z,"67 km SSE of Gorontalo, Indonesia",earthquake,,4.8,0.069,,reviewed,us,us
2013-12-29T10:00:25.290Z,-6.3983,103.8841,58.34,4.1,mb,,190,2.225,1.08,us,usc000m09i,2014-02-28T08:44:12.000Z,"southwest of Sumatra, Indonesia",earthquake,,8.8,0.234,,reviewed,us,us
2013-12-29T03:25:13.630Z,2.7771,128.2628,133.86,4.4,mb,,119,2.183,0.63,us,usc000m08u,2014-02-28T08:44:12.000Z,"119 km NNE of Tobelo, Indonesia",earthquake,,2,0.31,,reviewed,us,us
2013-12-29T03:11:43.780Z,-6.6776,129.0332,187.51,4,mb,,90,2.594,1.11,us,usc000m095,2014-02-28T08:44:12.000Z,"Banda Sea",earthquake,,10.8,0.298,,reviewed,us,us
2013-12-29T03:05:11.560Z,-8.2139,121.0083,49.48,4,mb,,165,1.286,0.56,us,usc000m098,2014-02-28T08:44:12.000Z,"74 km NE of Ruteng, Indonesia",earthquake,,11.4,0.258,,reviewed,us,us
